experiment_id,option_id,model_name,accuracy,latency_ms,energy_per_request_kwh
EXP-001,OPT-A,DistilBERT,0.908,20.063820666672353,2.5619104994053333e-07
EXP-001,OPT-B,BERT-base,0.918,39.60146880000442,5.123595664636e-07
EXP-001,OPT-C,MiniLM-L6,0.906,8.645671133330325,1.1247874363514808e-07
